Action,Trial,AF3,AF4,F3,F4,F7,F8,FC5,FC6,O1,O2,P7,P8,T7,T8,
(Action),(Trial),7960,8723,8191,8704,9095,8609,8518,8938,7426,9008,7896,8255,9261,8842,
(Action),(Trial),7962,8729,8192,8708,9095,8609,8517,8932,7435,9008,7900,8255,9285,8842,
(Action),(Trial),7962,8727,8192,8709,9095,8607,8517,8940,7437,9013,7896,8255,9258,8841,
(Action),(Trial),7961,8727,8192,8710,9095,8607,8516,8935,7423,9033,7898,8255,9287,8842,
(Action),(Trial),7962,8729,8192,8702,9095,8608,8515,8938,7437,9030,7898,8255,9275,8841,
(Action),(Trial),7961,8727,8192,8705,9095,8607,8516,8938,7429,9031,7897,8256,9266,8846,
(Action),(Trial),7961,8725,8191,8707,9095,8608,8515,8936,7429,9035,7899,8256,9272,8840,
(Action),(Trial),7957,8727,8192,8711,9095,8608,8517,8931,7428,9009,7886,8250,9270,8844,
(Action),(Trial),7960,8728,8191,8711,9095,8608,8518,8927,7434,9022,7895,8248,9269,8841,
(Action),(Trial),7960,8728,8193,8703,9095,8609,8518,8937,7432,9014,7871,8252,9266,8843,
(Action),(Trial),7962,8726,8193,8714,9095,8609,8517,8934,7434,9037,7897,8253,9277,8843,
(Action),(Trial),7962,8729,8193,8710,9095,8609,8517,8929,7427,9008,7899,8253,9272,8843,
(Action),(Trial),7962,8723,8193,8709,9095,8605,8515,8932,7431,9007,7893,8253,9271,8843,
(Action),(Trial),7962,8728,8193,8703,9095,8609,8516,8922,7418,9001,7891,8253,9274,8843,
(Action),(Trial),7962,8724,8191,8716,9095,8610,8516,8928,7425,9004,7887,8253,9262,8843,
(Action),(Trial),7962,8729,8192,8706,9095,8607,8518,8940,7443,9004,7887,8251,9263,8843,
(Action),(Trial),7962,8727,8191,8709,9095,8605,8517,8916,7429,9002,7889,8251,9271,8843,
(Action),(Trial),7962,8727,8192,8706,9095,8607,8517,8942,7434,9005,7906,8252,9271,8843,
(Action),(Trial),7962,8727,8192,8706,9095,8607,8517,8933,7434,9004,7899,8251,9264,8843,
(Action),(Trial),7962,8726,8194,8708,9095,8607,8517,8933,7416,9033,7899,8252,9288,8843,
(Action),(Trial),7962,8727,8193,8707,9095,8601,8517,8934,7418,9028,7892,8252,9261,8843,
(Action),(Trial),7962,8726,8194,8709,9095,8601,8517,8936,7437,9028,7887,8252,9290,8843,
(Action),(Trial),7962,8728,8194,8708,9095,8612,8517,8938,7429,9033,7888,8252,9264,8843,
(Action),(Trial),7962,8727,8192,8714,9095,8607,8517,8929,7425,9032,7894,8252,9271,8843,
(Action),(Trial),7962,8725,8190,8707,9095,8607,8517,8936,7431,9018,7901,8252,9265,8843,
(Action),(Trial),7962,8729,8189,8699,9095,8605,8517,8933,7431,9010,7901,8252,9267,8843,
(Action),(Trial),7962,8724,8194,8713,9095,8607,8517,8934,7435,9005,7898,8252,9267,8843,
(Action),(Trial),7962,8725,8192,8710,9095,8606,8517,8936,7420,9009,7898,8252,9267,8843,
(Action),(Trial),7962,8727,8191,8712,9095,8606,8517,8930,7415,9010,7898,8252,9269,8843,
